ERV
English Revised Version
Genesis 1:1	In the beginning God created the heaven and the earth.
Exodus 21:10	If he take him another wife; her food, her raiment, and her duty of marriage, shall he not diminish.
Exodus 21:11	And if he do not these three unto her, then shall she go out for nothing, without money.
Exodus 21:12	He that smiteth a man, so that he die, shall surely be put to death.
Exodus 21:13	And if a man lie not in wait, but God deliver him into his hand; then I will appoint thee a place whither he shall flee.
Exodus 21:14	And if a man come presumptuously upon his neighbour, to slay him with guile; thou shalt take him from mine altar, that he may die.
Exodus 21:15	And he that smiteth his father, or his mother, shall be surely put to death.
Exodus 21:16	And he that stealeth a man, and selleth him, or if he be found in his hand, he shall surely be put to death.
Exodus 21:17	And he that curseth his father, or his mother, shall surely be put to death.
Exodus 21:18	And if men contend, and one smiteth the other with a stone, or with his fist, and he die not, but keep his bed:
Exodus 21:19	if he rise again, and walk abroad upon his staff, then shall he that smote him be quit: only he shall pay for the loss of his time, and shall cause him to be thoroughly healed.
Exodus 21:20	And if a man smite his servant, or his maid, with a rod, and he die under his hand; he shall surely be punished.
Exodus 21:21	Notwithstanding, if he continue a day or two, he shall not be punished: for he is his money.
Exodus 21:22	And if men strive together, and hurt a woman with child, so that her fruit depart, and yet no mischief follow: he shall be surely fined, according as the woman’s husband shall lay upon him; and he shall pay as the judges determine.
Exodus 21:23	But if any mischief follow, then thou shalt give life for life,
Exodus 21:24	eye for eye, tooth for tooth, hand for hand, foot for foot,
Exodus 21:25	burning for burning, wound for wound, stripe for stripe.
Exodus 21:26	And if a man smite the eye of his servant, or the eye of his maid, and destroy it; he shall let him go free for his eye’s sake.
Exodus 21:27	And if he smite out his manservant’s tooth, or his maidservant’s tooth; he shall let him go free for his tooth’s sake.
Exodus 21:28	And if an ox gore a man or a woman, that they die, the ox shall be surely stoned, and his flesh shall not be eaten; but the owner of the ox shall be quit.
Exodus 21:29	But if the ox were wont to gore in time past, and it hath been testified to his owner, and he hath not kept him in, but that he hath killed a man or a woman; the ox shall be stoned, and his owner also shall be put to death.
Exodus 21:30	If there be laid on him a ransom, then he shall give for the redemption of his life whatsoever is laid upon him.
Exodus 21:31	Whether he have gored a son, or have gored a daughter, according to this judgment shall it be done unto him.
Exodus 21:32	If the ox gore a manservant or a maidservant; he shall give unto their master thirty shekels of silver, and the ox shall be stoned.
Exodus 21:33	And if a man shall open a pit, or if a man shall dig a pit and not cover it, and an ox or an ass fall therein,
Exodus 21:34	the owner of the pit shall make it good; he shall give money unto the owner of them, and the dead beast shall be his.
Exodus 21:35	And if one man’s ox hurt another’s, that he die; then they shall sell the live ox, and divide the price of it; and the dead also they shall divide.
Exodus 21:36	Or if it be known that the ox was wont to gore in time past, and his owner hath not kept him in; he shall surely pay ox for ox, and the dead beast shall be his own.
Exodus 22:1	If a man shall steal an ox, or a sheep, and kill it, or sell it; he shall pay five oxen for an ox, and four sheep for a sheep.
Exodus 22:2	If the thief be found breaking in, and be smitten that he die, there shall be no bloodguiltiness for him.
Exodus 22:3	If the sun be risen upon him, there shall be bloodguiltiness for him: he should make restitution; if he have nothing, then he shall be sold for his theft.
Exodus 22:4	If the theft be found in his hand alive, whether it be ox, or ass, or sheep; he shall pay double.
Exodus 22:5	If a man shall cause a field or vineyard to be eaten, and shall let his beast loose, and it feed in another man’s field; of the best of his own field, and of the best of his own vineyard, shall he make restitution.
Exodus 22:6	If fire break out, and catch in thorns, so that the shocks of corn, or the standing corn, or the field, be consumed; he that kindled the fire shall surely make restitution.
Exodus 22:7	If a man shall deliver unto his neighbour money or stuff to keep, and it be stolen out of the man’s house; if the thief be found, he shall pay double.
Exodus 22:8	If the thief be not found, then the master of the house shall come near unto God, to see whether he have not put his hand unto his neighbour’s goods.
Exodus 22:9	For every matter of trespass, whether it be for ox, for ass, for sheep, for raiment, or for any manner of lost thing, whereof one saith, This is it, the cause of both parties shall come before God; he whom God shall condemn shall pay double unto his neighbour.
Exodus 22:10	If a man deliver unto his neighbour an ass, or an ox, or a sheep, or any beast, to keep; and it die, or be hurt, or driven away, no man seeing it:
Exodus 22:11	the oath of the LORD shall be between them both, whether he hath not put his hand unto his neighbour’s goods; and the owner thereof shall accept it, and he shall not make restitution.
Exodus 22:12	But if it be stolen from him, he shall make restitution unto the owner thereof.
Exodus 22:13	If it be torn in pieces, let him bring it for witness; he shall not make good that which was torn.
Exodus 22:14	And if a man borrow aught of his neighbour, and it be hurt, or die, the owner thereof not being with it, he shall surely make restitution.
Exodus 22:15	If the owner thereof be with it, he shall not make it good: if it be an hired thing, it came for its hire.
Exodus 22:16	And if a man entice a virgin that is not betrothed, and lie with her, he shall surely pay a dowry for her to be his wife.
Exodus 22:17	If her father utterly refuse to give her unto him, he shall pay money according to the dowry of virgins.
Exodus 22:18	Thou shalt not suffer a sorceress to live.
Exodus 22:19	Whosoever lieth with a beast shall surely be put to death.
Exodus 22:20	He that sacrificeth unto any god, save unto the LORD only, shall be utterly destroyed.
Exodus 22:21	And a stranger shalt thou not wrong, neither shalt thou oppress him: for ye were strangers in the land of Egypt.
Exodus 22:22	Ye shall not afflict any widow, or fatherless child.
Exodus 22:23	If thou afflict them in any wise, and they cry at all unto me, I will surely hear their cry;
Exodus 22:24	and my wrath shall wax hot, and I will kill you with the sword; and your wives shall be widows, and your children fatherless.
Exodus 22:25	If thou lend money to any of my people with thee that is poor, thou shalt not be to him as a creditor; neither shall ye lay upon him usury.
Exodus 22:26	If thou at all take thy neighbour’s garment to pledge, thou shalt restore it unto him by that the sun goeth down:
Exodus 22:27	for that is his only covering, it is his garment for his skin: wherein shall he sleep? and it shall come to pass, when he crieth unto me, that I will hear; for I am gracious.
Exodus 22:28	Thou shalt not revile God, nor curse a ruler of thy people.
Exodus 22:29	Thou shalt not delay to offer of the abundance of thy fruits, and of thy liquors. The firstborn of thy sons shalt thou give unto me.
Exodus 22:30	Likewise shalt thou do with thine oxen, and with thy sheep: seven days it shall be with its dam; on the eighth day thou shalt give it me.
